1.0 raiz de 1
1.41 raiz de 2
1.73 raiz de 3
2.0 raiz de 4
2.24 raiz de 5
2.45 raiz de 6
2.65 raiz de 7
2.83 raiz de 8
3.0 raiz de 9
3.16 raiz de 10
3.32 raiz de 11
3.46 raiz de 12
3.61 raiz de 13
3.74 raiz de 14
3.87 raiz de 15
4.0 raiz de 16
4.12 raiz de 17
4.24 raiz de 18
4.36 raiz de 19
4.47 raiz de 20
4.58 raiz de 21
4.69 raiz de 22
4.8 raiz de 23
4.9 raiz de 24
5.0 raiz de 25
5.1 raiz de 26
5.2 raiz de 27
5.29 raiz de 28
5.39 raiz de 29
5.48 raiz de 30
5.57 raiz de 31
5.66 raiz de 32
5.74 raiz de 33
5.83 raiz de 34
5.92 raiz de 35
6.0 raiz de 36
6.08 raiz de 37
6.16 raiz de 38
6.24 raiz de 39
6.32 raiz de 40
6.4 raiz de 41
6.48 raiz de 42
6.56 raiz de 43
6.63 raiz de 44
6.71 raiz de 45
6.78 raiz de 46
6.86 raiz de 47
6.93 raiz de 48
7.0 raiz de 49
7.07 raiz de 50
7.14 raiz de 51
7.21 raiz de 52
7.28 raiz de 53
7.35 raiz de 54
7.42 raiz de 55
7.48 raiz de 56
7.55 raiz de 57
7.62 raiz de 58
7.68 raiz de 59
7.75 raiz de 60
7.81 raiz de 61
7.87 raiz de 62
7.94 raiz de 63
8.0 raiz de 64
8.06 raiz de 65
8.12 raiz de 66
8.19 raiz de 67
8.25 raiz de 68
8.31 raiz de 69
8.37 raiz de 70
8.43 raiz de 71
8.49 raiz de 72
8.54 raiz de 73
8.6 raiz de 74
8.66 raiz de 75
8.72 raiz de 76
8.77 raiz de 77
8.83 raiz de 78
8.89 raiz de 79
8.94 raiz de 80
9.0 raiz de 81
9.06 raiz de 82
9.11 raiz de 83
9.17 raiz de 84
9.22 raiz de 85
9.27 raiz de 86
9.33 raiz de 87
9.38 raiz de 88
9.43 raiz de 89
9.49 raiz de 90
9.54 raiz de 91
9.59 raiz de 92
9.64 raiz de 93
9.7 raiz de 94
9.75 raiz de 95
9.8 raiz de 96
9.85 raiz de 97
9.9 raiz de 98
9.95 raiz de 99
